Team Name
P&E
Baby got track
Globo Gym
Corn and company
Reagan & Daryl
Keep Going 4 Currin
Boston Three Party
Two Blondes and a Redhead
328 Stonemill
Flanagan's Shenanigans
Maria and the O'Mollaghans
Step Up
Garden Hose
Jake Moore’s Team
The Winners
BBO
Silly Little Girls on Woodland
We runnnnin
Sole Sisters
Blister Sisters
Hidden Valley
Cabin
Keep Going
BOCO
16 Lawnview
Team EDM
We keep going for Michael
hot wheels
The Step Masters
427 Lowe’s girls
Team Durbin/LaPorte
walk & roll
Rewmeez
Woodland + Dads
COMPOUND
The sara(h)’s and Rachel
Nuggets on the Run
WheRe’s tHe FlaVor
Happy Feet
